,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
493694,False,,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",,493694,tt4479952,en,Spark,A robot from the future travels back in time to 1983 in order to kill the young boy who will grow up to invent the Internet.,0.6,/7v6W4IVTFALWYD6MZHLLOPLvVWQ.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-07-17,0,11.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Spark,False,0.0,0
491696,False,,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",,491696,tt7457336,en,Brian and Charles,A lonely farmer and his droll yet excitable robot companion.,0.6,/ga2zlXzAkOLliQVw9Jp319P5HJM.jpg,[],[],2018-03-10,0,13.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Brian and Charles,False,5.5,2
478538,False,/ppfDWnVsDQYCF9PCfxZeZCkINFw.jpg,,61000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}]",http://acrimsonman.com/,478538,tt6003438,en,A Crimson Man,"In a war-torn land of man vs. robot, a young runaway slave searching for his father must ally with a broken and battle-scarred war-robot or be hunted down by his brutal overseers.",0.6,/yXkK9GE4CK5lI2zxmPy6AbjAm0x.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-10-18,0,22.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,A Crimson Man,False,7.5,4
466952,False,,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",https://vimeo.com/album/2378229/video/45684858,466952,,en,Shelved,Another day at the work... of robots.,0.6,/rvdLcnJiBD9jBtmOonnpzjK92TA.jpg,[],[],2012-07-13,0,5.0,[],Released,,Shelved,False,6.0,1
457162,False,,,0,"[{'id': 878, 'name': 'Science Fiction'}]",,457162,tt1366390,en,Future Farmer,"On a futuristic plantation where fruits are genetically enhanced with animal DNA, farmer Garrett Kelly and his android farm hand ADAM desperately fight to hide their trade secrets from competitors. When his nephew threatens to sell the farm and use the money to leave the planet with his fiancé, Garrett ponders more drastic measures.",0.6,,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-08-01,0,,[],Released,"The race to engineer a flawless animal/fruit hybrid has come to an end. Kelly farms has patented a technology to produce sweeter, juicier and longer-lasting specimens. And now, everyone wants a piece...",Future Farmer,False,0.0,0
442463,False,,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]",,442463,tt6522638,pt,Os Humores Artificiais,"Using a mix of Hollywood aesthetics with documentary strategies, the film follows a young indigenous girl from the Xingu National Park to São Paulo, where she falls in love with a robot that also happens to be a stand-up comedian. This strange story mixes the anthropology of humor, indigenous communities, and artificial intelligence.",0.6,/dd3StMYWlbAAKW1kPfR6QZWFkMj.jpg,[],"[{'iso_3166_1': 'PT', 'name': 'Portugal'}]",2016-09-07,0,29.0,"[{'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",Released,,The Artificial Humors,False,4.0,1
414431,False,,,0,"[{'id': 27, 'name': 'Horror'}]",,414431,,en,The Cutting Room Floor,"During the events of a zombie attack, a young man shows a collection of shorts to pass the time before he too becomes one of the walking dead.",0.6,/oJcJVrKw0Va5hgIvoIIGozrfFhf.jpg,"[{'id': 79999, 'logo_path': None, 'name': 'PKP Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2012-10-27,0,0.0,[],Released,,The Cutting Room Floor,False,8.0,1
396123,False,,,0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}]",,396123,tt1823087,xx,Burning Safari,Small alien robots land on Earth for a photo safari. Their encounter with a wild ape man will prove communication between the two species to be... difficult.,0.6,,"[{'id': 71552, 'logo_path': '/hmFPR24kEVCPi6A47x2j6n7qfza.png', 'name': 'Gobelins', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2006-05-04,0,2.0,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]",Released,,Burning Safari,False,0.0,0
395976,False,,,0,"[{'id': 16, 'name': 'Animation'}]",https://web.facebook.com/changingbatteries,395976,tt6115480,en,Changing Batteries,"Changing Batteries tells the story of an old lady who lives alone, and she receives a robot one day. The story tells of their relationship development.",0.6,,"[{'id': 76357, 'logo_path': None, 'name': 'Sunny Side-Up Production', 'origin_country': ''}]","[{'iso_3166_1': 'MY', 'name': 'Malaysia'}]",2013-01-29,0,6.0,[],Released,,Changing Batteries,False,6.5,7
392046,False,,,0,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.facebook.com/requiemforarobot/,392046,tt1837009,en,Requiem for a Robot,"Rob, a worn out robot with a corrupt memory, drowns his sorrows of his 'screwed' existence in alcohol and asks himself the essential question: what did he do wrong? He needs to remember...",0.6,,[],"[{'iso_3166_1': 'AT', 'name': 'Austria'}]",2013-09-13,0,6.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Requiem for a Robot,False,7.5,1
391651,False,,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]",,391651,tt5578644,en,M.O.P.Z.,A lazy janitor builds a robot to do his dirty work.,0.6,,"[{'id': 6759, 'logo_path': '/4sSBiaMiVneNnbpwekW8lqDS3Dn.png', 'name': 'Adult Swim', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-04-04,0,11.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,M.O.P.Z.,False,9.0,3
